rho2,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
10,electricity,control (swap invariant),1322,0.42086723,0.37986532,0.5408472012102874,9.431114857491249e-05
10,ETTh2,main (swap dynamic),39,0.45574167,0.48803687,0.4358974358974359,0.585392383949511
10,ETTh2,control (swap invariant),39,0.44754854,0.4828997,0.5128205128205128,0.8522410723089706
10,ETTm2,main (swap dynamic),365,0.57016474,0.64479196,0.4520547945205479,0.013773450444976217
10,ETTm2,control (swap invariant),365,0.62782824,0.58864677,0.5260273972602739,0.4684337744531234
10,weather,main (swap dynamic),1236,0.7011981,0.7049752,0.48220064724919093,0.5463836013713014
10,weather,control (swap invariant),1236,0.7222162,0.7104107,0.48624595469255666,0.9479746091453202
10,exchange_rate,main (swap dynamic),42,0.7071564,0.9093846,0.42857142857142855,0.24261792315883213
10,exchange_rate,control (swap invariant),42,0.69213116,0.9264981,0.40476190476190477,0.1828587281356704
10,traffic,main (swap dynamic),7698,0.4632628,0.55570453,0.4256949857105742,1.0245235808154334e-70
10,traffic,control (swap invariant),7698,0.46849692,0.54470825,0.4424525850870356,6.693411232018786e-50
10,solar,main (swap dynamic),6841,0.6814687,0.8138065,0.45943575500657796,3.3250950029943668e-18
10,solar,control (swap invariant),6841,0.70819783,0.81035846,0.4565122058178629,9.715063335599339e-15
10,PEMS08,main (swap dynamic),3614,0.4412852,0.4873626,0.4961261759822911,0.01261307038181344
10,PEMS08,control (swap invariant),3614,0.45860478,0.47897804,0.5293303818483674,0.8413644474874455
10,AQWan,main (swap dynamic),296,0.49259913,0.49809638,0.5168918918918919,0.9070952807078625
10,AQWan,control (swap invariant),296,0.5386542,0.450609,0.5844594594594594,0.016039277072527634
10,Wind,main (swap dynamic),408,0.6059976,0.5414962,0.5514705882352942,0.04603763031435393
10,Wind,control (swap invariant),408,0.6237683,0.5186467,0.5808823529411765,0.001006949622240359
10,ZafNoo,main (swap dynamic),81,0.5026391,0.62420034,0.43209876543209874,0.0724608506474172
10,ZafNoo,control (swap invariant),81,0.55075693,0.5959925,0.4567901234567901,0.4086313947903105
10,CzeLan,main (swap dynamic),242,0.47836837,0.44411084,0.5,0.6593752195447637
10,CzeLan,control (swap invariant),242,0.49937612,0.47500536,0.5,0.5617731908868462
10,Combined,main (swap dynamic),22714,0.5376253,0.6189573,0.45962842299903145,3.5277318896191183e-56
10,Combined,control (swap invariant),22714,0.5559736,0.60974425,0.47530157612045437,2.0460177715144013e-28
