backbone,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
Moirai2_lr1.5e-5,ETTm1,control (swap invariant),496,0.577377814183871,0.5811058372573791,0.4798387096774194,0.5897529483464142
Moirai2_lr1.5e-5,electricity,main (swap dynamic),1322,0.22800131883325267,0.27284033079532527,0.3978819969742814,5.453327350614444e-16
Moirai2_lr1.5e-5,electricity,control (swap invariant),1322,0.25698861993350985,0.26719919319940993,0.45915279878971255,0.0037496835748780572
Moirai2_lr1.5e-5,ETTh2,main (swap dynamic),39,0.36203893710256413,0.43972233594871807,0.48717948717948717,0.3221561306017975
Moirai2_lr1.5e-5,ETTh2,control (swap invariant),39,0.3479283914358975,0.3710112668974359,0.46153846153846156,0.6536581539767212
Moirai2_lr1.5e-5,ETTm2,main (swap dynamic),365,0.7138143097123288,0.7631759284101918,0.4246575342465753,0.03614663941449323
Moirai2_lr1.5e-5,ETTm2,control (swap invariant),365,0.7151326287156986,0.6968405512161643,0.5013698630136987,0.8976375239663794
Moirai2_lr1.5e-5,weather,main (swap dynamic),1236,1.1267197168518852,1.1851729610205501,0.465210355987055,0.0013766529750699392
Moirai2_lr1.5e-5,weather,control (swap invariant),1236,1.1394846051028318,1.162787701386327,0.48624595469255666,0.1480805440226287
Moirai2_lr1.5e-5,exchange_rate,main (swap dynamic),42,1.4384156174523808,1.3270082267976189,0.5238095238095238,0.5438852990082523
Moirai2_lr1.5e-5,exchange_rate,control (swap invariant),42,1.4256894976190477,1.3164625354761905,0.47619047619047616,0.6030205487700186
Moirai2_lr1.5e-5,traffic,main (swap dynamic),7698,0.2505486223419392,0.3263931596183022,0.3682774746687451,3.6347589664409737e-177
Moirai2_lr1.5e-5,traffic,control (swap invariant),7698,0.3247067424944842,0.25287883199262456,0.5975578072226553,9.892312897282797e-119
Moirai2_lr1.5e-5,solar,main (swap dynamic),6841,0.42027810189459053,0.4867901827746172,0.3999415290162257,3.81141793241947e-51
Moirai2_lr1.5e-5,solar,control (swap invariant),6841,0.4440994464614655,0.4617094165511051,0.5160064318082151,0.8006404766540007
Moirai2_lr1.5e-5,PEMS08,main (swap dynamic),3614,0.5920263926526039,0.5868576722594486,0.5107913669064749,0.23914968285627547
Moirai2_lr1.5e-5,PEMS08,control (swap invariant),3614,0.5740107161550526,0.588542962233515,0.4759269507470946,0.09151317416116063
Moirai2_lr1.5e-5,AQWan,main (swap dynamic),296,0.43087616895067565,0.5498377026165541,0.4155405405405405,0.00013272302116169478
Moirai2_lr1.5e-5,AQWan,control (swap invariant),296,0.48904241351250005,0.49647002601689183,0.47635135135135137,0.46451635566741256
Moirai2_lr1.5e-5,Wind,main (swap dynamic),408,1.0610007076262744,1.053118726597549,0.5147058823529411,0.8653989152968105
Moirai2_lr1.5e-5,Wind,control (swap invariant),408,1.0804786135161764,1.0414020533375001,0.5318627450980392,0.2347475565618149
Moirai2_lr1.5e-5,ZafNoo,main (swap dynamic),81,0.4576536158222222,0.6932265485382715,0.35802469135802467,0.0035366039250081284
Moirai2_lr1.5e-5,ZafNoo,control (swap invariant),81,0.48442843056419743,0.6935766345962963,0.4074074074074074,0.029088039978722273
Moirai2_lr1.5e-5,CzeLan,main (swap dynamic),242,0.6310943612582646,0.6462172256359504,0.5165289256198347,0.9703639944307038
Moirai2_lr1.5e-5,CzeLan,control (swap invariant),242,0.6611227340867768,0.6572958517696693,0.5247933884297521,0.5092427674582698
Moirai2_lr3e-4,ETTh1,main (swap dynamic),34,0.24740820323529414,0.3103796115,0.4117647058823529,0.33423195546492934
Moirai2_lr3e-4,ETTh1,control (swap invariant),34,0.315710908882353,0.253956881882353,0.5294117647058824,0.710331300389953
Moirai2_lr3e-4,ETTm1,main (swap dynamic),496,0.38633297271250006,0.4702461752219758,0.4153225806451613,0.0003942523741367866
Moirai2_lr3e-4,ETTm1,control (swap invariant),496,0.42343493492822587,0.41991887026491936,0.5100806451612904,0.798573667314334
Moirai2_lr3e-4,electricity,main (swap dynamic),1322,0.291561651505295,0.32872831194325264,0.4659606656580938,0.0003125832375854704
Moirai2_lr3e-4,electricity,control (swap invariant),1322,0.3605280875977912,0.2835788637084871,0.6013615733736762,5.779453356641482e-18
Moirai2_lr3e-4,ETTh2,main (swap dynamic),39,0.29099058010512824,0.4297886094358975,0.41025641025641024,0.28290080075748847
Moirai2_lr3e-4,ETTh2,control (swap invariant),39,0.29618308264102566,0.4001931406410256,0.4358974358974359,0.1991071455704514
Moirai2_lr3e-4,ETTm2,main (swap dynamic),365,0.4390626847279452,0.4752620252725479,0.4410958904109589,0.0811093592101098
Moirai2_lr3e-4,ETTm2,control (swap invariant),365,0.4718381653123288,0.48174782099232877,0.5123287671232877,0.8144135432015818
Moirai2_lr3e-4,weather,main (swap dynamic),1236,0.7089910920938268,0.7200322671548545,0.47815533980582525,0.20795887358167198
Moirai2_lr3e-4,weather,control (swap invariant),1236,0.7159680752953398,0.7268218694536408,0.4749190938511327,0.26454600934591166
Moirai2_lr3e-4,exchange_rate,main (swap dynamic),42,1.0970588787857143,0.9152311788333334,0.5714285714285714,0.3267881869228404
Moirai2_lr3e-4,exchange_rate,control (swap invariant),42,1.050424628785714,0.8855181996190477,0.5476190476190477,0.3921185261519895
Moirai2_lr3e-4,traffic,main (swap dynamic),7698,0.3724191870161881,0.5168890621226429,0.33528189140036374,1.423679167958137e-256
Moirai2_lr3e-4,traffic,control (swap invariant),7698,0.4901503532474708,0.40922926058538506,0.5705378020265004,2.495509086769893e-62
Moirai2_lr3e-4,solar,main (swap dynamic),6841,0.3157405330600503,0.38197882498925084,0.4340008770647566,1.181409212472946e-24
Moirai2_lr3e-4,solar,control (swap invariant),6841,0.3332292965488742,0.3440915648877927,0.5241923695366174,0.0029516818459599313
Moirai2_lr3e-4,PEMS08,main (swap dynamic),3614,0.29654388098465695,0.3557044211527881,0.4103486441615938,4.090916253512401e-27
Moirai2_lr3e-4,PEMS08,control (swap invariant),3614,0.3388826020650885,0.3277490244907153,0.5185390149418926,0.005608417190874574
Moirai2_lr3e-4,AQWan,main (swap dynamic),296,0.41896031620236485,0.4900456733760135,0.4155405405405405,0.0033992996058063475
Moirai2_lr3e-4,AQWan,control (swap invariant),296,0.4505952469047297,0.485085232108108,0.49324324324324326,0.37408698614848135
